"Nominal brown shrimp prices by size, 0-15, 15-20, etc.",,,,,,,,,
,,0-15,15-20,20-25,25-30,30-40,40-50,50-67,Pieces
Year,Month,price1,price2,price3,price4,price5,price6,price7,price8
1994,3,7.506341672,5.958807242,5.273628443,4.874360646,4.266280841,3.849111203,3.141548507,2.444906205
1994,4,7.182471888,5.988561111,5.303230205,4.923437692,4.407020109,3.322562462,2.916183462,2.218240557
1994,5,6.903000971,6.167064559,5.589094052,4.905017024,4.459259493,3.766813286,3.115957245,1.300383255
1994,6,7.824874747,6.436473521,5.464634844,5.26783903,4.778341225,4.321812037,3.72620843,2.234193924
1994,7,7.831663639,6.640814648,5.676171033,5.265027977,4.607380146,4.307094517,3.96402619,2.962286667
1994,8,8.106036648,6.32666201,5.512936863,5.249327253,4.830970543,4.392389884,4.168859181,3.193065219
1994,9,8.212437594,6.062823453,5.403916939,5.061405214,4.685398484,4.107041152,3.870458387,2.664739831
1994,10,8.321941733,6.067078589,5.472706393,5.156551487,4.70571218,4.155,3.912167787,3.033464528
1994,11,8.139135532,5.940320266,5.367280193,5.005762842,4.604717358,4.090041947,3.829876911,2.860863709
1994,12,8.096368804,5.980136687,5.292286274,4.863588876,4.377308322,3.950410997,3.754955375,2.745332671
1995,1,8.277639383,6.078368858,5.459348471,5.11186224,4.602974781,3.971507037,3.898424311,3.430937048
1995,2,8.565198648,6.295933573,5.707353595,5.354642324,4.813757426,4.1184567,3.928057554,2.857370451
1995,3,8.544983844,6.320072137,5.74959187,5.39893586,4.803504348,4.066904751,3.803305922,2.323802856
1995,4,8.362246302,6.280826867,6.163096987,5.496455026,4.713847688,4.086728823,3.701731261,2.372200342
1995,5,8.193548387,6.544233577,6.336924584,5.451268372,4.628838009,3.864955133,3.35125736,1.578283339
1995,6,8.430612799,6.61695284,6.328075152,5.494571169,4.436428876,3.539209523,2.760701707,1.889582089
1995,7,7.64873831,6.689417737,5.772343534,4.937404205,3.725057807,2.940706185,2.480425204,2.027058599
1995,8,7.768898318,6.586455653,5.637866731,4.742512,3.631691272,2.787759754,2.395447805,1.994798186
1995,9,6.913759465,5.812712469,4.761365998,4.246670284,3.324428505,2.629227651,2.305917017,1.794828937
1995,10,7.217596199,6.028162792,5.146491664,4.587880612,3.601592112,2.810702318,2.483337918,2.011966703
1995,11,7.454574414,6.161708355,5.313651222,4.690283689,3.638035819,2.968407665,2.627793144,2.048404974
1995,12,7.191582289,6.021987777,5.090198319,4.434644785,3.549688679,3.028684984,2.594375889,2.077815238
1996,1,7.027422862,5.953293301,4.715148584,4.434887686,3.384060513,3.09391808,2.564139053,2.098281522
1996,2,7.304933987,6.276799661,5.246837163,4.527216695,3.569931286,2.921398071,2.828417514,1.89617217
1996,3,7.41429529,6.201623119,5.29586828,4.58816544,3.530289858,2.997224815,2.593392936,2.04062031
1996,4,7.434757853,6.067903825,5.277220898,4.534289809,3.612014614,2.966733313,2.495976852,2.134301945
1996,5,7.353242689,6.533977516,5.810630305,4.992495606,4.010106544,3.382735435,2.758653745,1.393648569
1996,6,7.398443351,6.477571278,5.845642029,4.927847983,3.974213395,3.319842628,2.483074511,1.485548013
1996,7,7.42139269,6.551689321,5.310386378,4.720992118,3.302087602,2.865023333,2.425885241,1.774953246
1996,8,7.49590576,6.664665102,5.28648854,4.759327883,3.658299499,3.031018023,2.467514898,1.949092962
1996,9,7.603968212,6.63152667,5.261891793,4.848565259,3.747216745,3.234046878,2.63315155,1.851117138
1996,10,7.66203571,6.55112932,5.350253151,4.907072397,3.857056996,3.213157477,2.685796071,1.874916585
1996,11,8.140001231,6.751517877,5.492376809,4.956824975,4.128360221,3.438269381,2.959768776,2.200260635
1996,12,8.221946709,6.884619019,5.527967802,5.206455777,4.371061236,3.642873705,3.059414238,2.097011885
1997,1,8.06196773,6.852988283,5.53114861,5.226612006,4.490796781,3.696035029,3.13448901,2.164736537
1997,2,8.304036189,6.745157953,5.617815465,5.270004195,4.63179871,3.707289643,3.105144815,2.122912027
1997,3,8.166141239,6.814462665,5.614847577,5.389598852,4.613050303,3.857860178,3.261073559,2.029893423
1997,4,8.305724571,6.659865874,5.671809641,5.450774527,4.718980428,4.080072118,3.56980644,2.582939617
1997,5,8.173339518,6.749509756,6.091955828,5.482920385,4.842035366,4.1207379,3.489171736,1.567686388
1997,6,8.267389937,7.007529617,6.127369219,5.623110067,4.819766238,4.195538419,3.778361892,2.015616039
1997,7,8.453811161,7.177715516,6.420886764,5.80268019,5.133800224,4.255780883,3.589273536,2.358727126
1997,8,8.314912174,7.240747628,6.621525381,5.961954146,5.242690635,4.504497692,3.932622328,3.028802034
1997,9,8.736637379,7.318674196,6.512017089,5.823215349,5.197878312,4.427393197,3.785250356,2.688945477
1997,10,8.673763145,7.116924428,6.418800724,5.664588513,5.171510285,4.292369731,3.659686188,2.099651183
1997,11,8.687560398,6.895426604,6.265444511,5.767882845,5.093815865,4.171143638,3.60794828,2.716894273
1997,12,8.770472166,6.824496996,6.375971592,5.809934159,4.915616645,4.043594799,3.482904586,2.343796794
1998,1,7.977361636,6.776205648,6.252094839,5.750167139,4.980456977,3.981143784,3.508093342,2.289400405
1998,2,8.843148374,7.019640212,6.380403133,5.856477984,5.133967926,3.622739684,3.459561602,2.143681501
